0,6.29,0.15,0.00
1,9.05,0.23,0.00
2,8.04,0.16,0.00
3,-1.46,0.11,0.00
4,3.43,0.09,0.00
5,4.55,0.15,0.00
6,6.52,0.23,0.00
7,6.67,0.24,0.00
8,7.28,0.20,0.00
9,8.10,0.38,0.00
10,7.74,0.33,0.00
11,2.01,0.09,0.00
12,7.13,0.28,0.00
13,8.97,0.43,0.38
14,14.27,0.76,1.17
15,14.13,0.86,2.24
16,17.54,0.93,2.85
17,14.05,0.65,2.73
18,14.59,0.53,2.52
19,12.89,0.35,2.67
20,20.50,0.80,2.45
21,12.43,0.32,1.72
22,19.27,0.56,1.37
23,18.60,0.57,2.28
24,18.15,0.55,3.79
25,15.08,0.48,3.96
26,15.13,0.39,2.84
27,16.69,0.57,2.39
28,21.10,0.96,3.78
29,17.76,0.56,4.89
30,16.17,0.51,4.24
31,16.61,0.35,3.86
32,17.83,0.52,3.85
33,16.35,0.41,3.69
34,15.90,0.47,3.52
35,12.56,0.25,2.78
36,13.49,0.34,1.52
37,13.39,0.39,0.86
38,11.99,0.26,1.73
39,15.54,0.34,1.44
40,10.20,0.21,0.25
41,9.75,0.29,0.72
42,5.42,0.18,0.80
43,7.15,0.15,0.19
44,5.92,0.16,0.45
45,1.84,0.09,0.00
46,4.59,0.11,8.00
47,3.31,0.10,0.00
48,7.14,0.17,0.00
49,2.73,0.13,0.00
50,-3.35,0.09,0.00
51,-2.38,0.05,0.00
52,2.88,0.08,0.00
0,2.03,0.14,0.00
1,6.40,0.25,0.00
2,8.31,0.28,0.00
3,4.10,0.27,0.00
4,1.61,0.12,0.00
5,5.35,0.28,0.00
6,2.14,0.24,0.00
7,6.45,0.29,0.00
8,8.69,0.26,0.00
9,3.20,0.16,0.00
10,8.42,0.27,0.00
11,1.73,0.15,0.00
12,4.81,0.31,0.00
13,7.21,0.29,0.29
14,5.28,0.17,0.63
15,7.05,0.24,1.07
16,12.07,0.46,1.87
17,12.34,0.58,3.19
18,16.83,1.04,4.20
19,15.90,0.70,4.03
20,13.70,0.45,3.10
21,19.17,0.54,2.67
22,15.70,0.33,2.75
23,14.51,0.48,3.02
24,17.96,0.67,3.76
25,19.80,0.66,4.04
26,18.94,0.69,3.40
27,17.03,0.58,2.63
28,17.44,0.66,2.67
29,17.95,0.73,3.95
30,21.19,0.64,4.55
31,18.90,0.55,3.33
32,16.54,0.47,2.50
33,16.53,0.50,2.40
34,17.70,0.53,2.38
35,16.07,0.37,2.86
36,15.03,0.34,2.48
37,9.34,0.32,1.59
38,10.07,0.28,1.54
39,9.46,0.25,1.93
40,13.62,0.28,2.42
41,10.75,0.23,1.77
42,8.95,0.24,0.00
43,6.75,0.12,0.00
44,10.01,0.24,0.00
45,7.41,0.21,0.00
46,4.14,0.13,0.78
47,0.81,0.10,0.00
48,3.59,0.11,0.00
49,-0.50,0.04,0.00
50,2.38,0.05,0.00
51,0.97,0.10,0.00
52,-3.04,0.06,0.00
